name,sex
გიორგი,M
ნინო,F
მარიამ,F
ანა,F
სალომე,F
მარიამი,F
თამარ,F
ნათია,F
თამარი,F
ანი,F
დავით,M
გვანცა,F
თეონა,F
ნიკა,M
ირაკლი,M
ქეთევან,F
თორნიკე,M
ბექა,M
სოფიკო,F
ხატია,F
ელენე,F
ლაშა,M
ნანა,F
ლიკა,F
მარი,F
ლევან,M
თამთა,F
თათია,F
სოფიო,F
საბა,M
დავითი,M
ლუკა,M
ალექსანდრე,M
თინათინ,F
თამუნა,F
ლანა,F
ნატო,F
ნიკოლოზ,M
ქეთევანი,F
ლია,F
მაკა,F
მეგი,F
ეკატერინე,F
ლევანი,M
მაია,F
ქრისტინე,F
ანნა,F
თინათინი,F
ეკა,F
გიგა,M
მიხეილ,M
ზურაბ,M
მარიკა,F
ქეთი,F
რუსუდან,F
შოთა,M
ეთერი,F
ზურაბი,M
თეა,F
ანანო,F
მაგდა,F
ლალი,F
ვახტანგ,M
შალვა,M
აკაკი,M
ია,F
ილია,M
ლელა,F
გოგა,M
დიანა,F
სანდრო,M
მერი,F
მიხეილი,M
მანანა,F
ცოტნე,M
ნათელა,F
ირინა,F
ნოდარ,M
გურამ,M
რატი,M
დიმიტრი,M
ავთანდილ,M
მედეა,F
ოთარი,M
კონსტანტინე,M
რევაზ,M
არჩილ,M
მამუკა,M
რუსუდანი,F
გივი,M
ვალერი,M
მზია,F
მარინა,F
ცირა,F
ნოდარი,M
ერეკლე,M
მირანდა,F
თემური,M
ნია,F
თემურ,M
ნუცა,F
ვაჟა,M
ლადო,M
ვანო,M
სოსო,M
ფიქრია,F
ზაზა,M
ნონა,F
ვლადიმერ,M
ნიკოლოზი,M
ნანი,F
მარიტა,F
გურამი,M
ხათუნა,F
შორენა,F
მონიკა,F
ეთერ,F
ავთანდილი,M
იოსებ,M
იზა,F
ვახტანგი,M
ქრისტინა,F
ივანე,M
ნაზი,F
თეკლე,F
კესო,F
ვერიკო,F
ჯაბა,M
ოთარ,M
გია,M
ლილი,F
ბაჩანა,M
თეიმურაზ,M
კახა,M
თენგიზ,M
თამაზ,M
ირმა,F
ბელა,F
თეკლა,F
ლეილა,F
ლიანა,F
ინგა,F
პაატა,M
ნატა,F
გოგიტა,M
ანუკი,F
მერაბ,M
უჩა,M
სოფო,F
გოჩა,M
ნუგზარ,M
ინა,F
ნატალია,F
ელენა,F
ქეთინო,F
გაგა,M
ნელი,F
ელისო,F
ნიკო,M
ტარიელ,M
ციცინო,F
ამირან,M
ირინე,F
თამრიკო,F
ბიძინა,M
სერგო,M
თამაზი,M
პაპუნა,M
მერაბი,M
ალეკო,M
ნუნუ,F
ვასილი,M
ბადრი,M
